video_id,cluster,url,motion_mean,cut_rate_per_min,audio_rms_mean,audio_rms_std,visual_density,cluster_id,fusion_strategy,k_selected,video_available,audio_available
n5rSjfrSyzY,4,https://www.youtube.com/watch?v=n5rSjfrSyzY,65.43954967151988,119.70979443772671,7176.42520042702,1630.2965183150625,0.0974779110863095,4.0,concat,6.0,1.0,1.0
n6kxWN-4bB8,4,https://www.youtube.com/watch?v=n6kxWN-4bB8,29.2587214842302,51.1770100886579,8881.167042071067,3286.979422908601,0.0902543482233663,4.0,concat,6.0,1.0,1.0
n7zWeqlxRTY,4,https://www.youtube.com/watch?v=n7zWeqlxRTY,26.19543144328646,54.60674157303371,7293.924374415957,3138.972206899323,0.1614279513888888,4.0,concat,6.0,1.0,1.0
n88Z2F73aQs,4,https://www.youtube.com/watch?v=n88Z2F73aQs,32.420187432278865,60.55833929849677,8167.531044244603,4521.749301158339,0.0479908207742316,4.0,concat,6.0,1.0,1.0
n9Upt3csn9A,4,https://www.youtube.com/watch?v=n9Upt3csn9A,47.72162890434265,87.4493927125506,2506.87635368934,2096.3456955699794,0.092671325956125,4.0,concat,6.0,1.0,1.0
nB0R9-XNrTg,4,https://www.youtube.com/watch?v=nB0R9-XNrTg,42.58023943901062,85.83106267029973,9727.71098710758,3444.627598461458,0.1049798387096774,4.0,concat,6.0,1.0,1.0
nBN2t1ZlX0Q,4,https://www.youtube.com/watch?v=nBN2t1ZlX0Q,25.835425054523306,60.955993159383,6334.285358598214,2856.143945204087,0.0807859519675925,4.0,concat,6.0,1.0,1.0
nB_O3av7WZM,4,https://www.youtube.com/watch?v=nB_O3av7WZM,33.35001820784349,82.0253164556962,12587.964153013369,7111.870449660304,0.0806492734053497,4.0,concat,6.0,1.0,1.0
nBcTFEYIgGo,4,https://www.youtube.com/watch?v=nBcTFEYIgGo,13.729315414475767,17.015706806282722,1034.3701382348395,354.29662287449594,0.0788578287760416,4.0,concat,6.0,1.0,1.0
nBljYc3o2o4,4,https://www.youtube.com/watch?v=nBljYc3o2o4,21.79982438734893,45.36082474226803,2984.6045922563785,1157.2693102293308,0.0872534869350282,4.0,concat,6.0,1.0,1.0
nDEiJzT1f6g,4,https://www.youtube.com/watch?v=nDEiJzT1f6g,10.430688633638267,7.03125,4550.771994477731,2333.5632679629575,0.0863773148148148,4.0,concat,6.0,1.0,1.0
nDxFAjho7pk,4,https://www.youtube.com/watch?v=nDxFAjho7pk,24.31067956207145,53.091321610890525,2240.5619774227953,2016.3230343376529,0.0942190810381356,4.0,concat,6.0,1.0,1.0
nEanQOgJL1c,4,https://www.youtube.com/watch?v=nEanQOgJL1c,34.942475859798606,92.84699683877766,5862.972888946533,3377.52834510844,0.1948240228434608,4.0,concat,6.0,1.0,1.0
nEdwK_Uh7NY,4,https://www.youtube.com/watch?v=nEdwK_Uh7NY,19.068768819173176,9.89010989010989,4261.738328144813,1459.560541412273,0.0355329861111111,4.0,concat,6.0,1.0,1.0
nF3BrnVl9GA,4,https://www.youtube.com/watch?v=nF3BrnVl9GA,22.691243896117577,41.43222506393862,9533.810977991616,3025.429740125118,0.1096397569444444,4.0,concat,6.0,1.0,1.0
nFNnULD3DsY,4,https://www.youtube.com/watch?v=nFNnULD3DsY,22.432915198497284,30.0,9096.1558692106,2862.345020301331,0.0962407769097222,4.0,concat,6.0,1.0,1.0
nG_WXpxAmFo,4,https://www.youtube.com/watch?v=nG_WXpxAmFo,29.172345761899596,96.58536585365854,4103.957295778879,2093.9007170423624,0.1586853608630952,4.0,concat,6.0,1.0,1.0
nHONUNywsgI,4,https://www.youtube.com/watch?v=nHONUNywsgI,11.276050005121968,2.8976175144880876,4662.992082209646,2302.976110937698,0.1211035573584401,4.0,concat,6.0,1.0,1.0
nHrkJ3LOCBA,4,https://www.youtube.com/watch?v=nHrkJ3LOCBA,28.49013428768869,74.33035714285714,4972.000152720187,2583.696336598698,0.0563931568287037,4.0,concat,6.0,1.0,1.0
nIPi7FcCkQg,4,https://www.youtube.com/watch?v=nIPi7FcCkQg,39.58803915754657,69.23076923076923,8656.0217613193,2525.4226111596595,0.0518740354938271,4.0,concat,6.0,1.0,1.0
nJxHDsplZFk,4,https://www.youtube.com/watch?v=nJxHDsplZFk,33.717767365371124,71.03274559193954,3307.7479557584065,1537.394931799403,0.03712841796875,4.0,concat,6.0,1.0,1.0
nKOszBdW8fo,4,https://www.youtube.com/watch?v=nKOszBdW8fo,42.39012257119884,80.16194331983806,9717.667507597718,2714.513889916788,0.0592687006106321,4.0,concat,6.0,1.0,1.0
nMhKmkhx3dA,4,https://www.youtube.com/watch?v=nMhKmkhx3dA,10.605626117099415,5.373134328358209,10173.12059047154,2625.0490297527213,0.027510223765432,4.0,concat,6.0,1.0,1.0
nNNAS1JIfPo,4,https://www.youtube.com/watch?v=nNNAS1JIfPo,24.70378052032355,47.903225806451616,9048.59124897582,4129.754308212666,0.056395068211858,4.0,concat,6.0,1.0,1.0
nO7HQTveVN0,4,https://www.youtube.com/watch?v=nO7HQTveVN0,33.69938303294935,85.13513513513513,3084.8094821775153,2290.0196523521963,0.0699776475694444,4.0,concat,6.0,1.0,1.0
nOKbD30XNgs,4,https://www.youtube.com/watch?v=nOKbD30XNgs,24.65816649754842,36.41160949868074,9190.6467850605,6009.5002479676705,0.0701914290935672,4.0,concat,6.0,1.0,1.0
nR1m71h1C_g,4,https://www.youtube.com/watch?v=nR1m71h1C_g,36.56581271778453,112.5,1040.6881978845083,472.45848291361017,0.1190129484953703,4.0,concat,6.0,1.0,1.0
nRDu9SmPW9o,4,https://www.youtube.com/watch?v=nRDu9SmPW9o,16.547583445835,36.0,9737.54146478738,4441.158088300786,0.1798375651041666,4.0,concat,6.0,1.0,1.0
nRg8e3BT7xw,4,https://www.youtube.com/watch?v=nRg8e3BT7xw,27.403472355433873,61.4019512195122,625.3947358308016,1136.1508206427868,0.1299864004629629,4.0,concat,6.0,1.0,1.0
nSwBS4_HzFs,4,https://www.youtube.com/watch?v=nSwBS4_HzFs,28.921909430554805,57.33063700707785,2986.2885240417827,2623.814883179734,0.0623241529882154,4.0,concat,6.0,1.0,1.0
nTBbO3t0RDw,4,https://www.youtube.com/watch?v=nTBbO3t0RDw,34.266938288925644,64.66431095406361,8103.183909051653,4116.771953134466,0.075848781779661,4.0,concat,6.0,1.0,1.0
nTnLstAtmAI,4,https://www.youtube.com/watch?v=nTnLstAtmAI,31.20896625518799,105.88235294117646,11792.22704521313,3333.625729782413,0.0567581644144144,4.0,concat,6.0,1.0,1.0
nX5P0JeZe58,4,https://www.youtube.com/watch?v=nX5P0JeZe58,21.248144912719727,24.2914979757085,2942.105478200605,1068.0505317173936,0.0725582837301587,4.0,concat,6.0,1.0,1.0
naKQU5zorRQ,4,https://www.youtube.com/watch?v=naKQU5zorRQ,22.28304699063301,54.17236662106703,4371.165666998057,1967.9554496219707,0.0946246102607709,4.0,concat,6.0,1.0,1.0
nafo5guqGoc,4,https://www.youtube.com/watch?v=nafo5guqGoc,39.82869977866654,92.51101321585904,10105.704617632233,3437.515551853453,0.1302129020467836,4.0,concat,6.0,1.0,1.0
ne6N4YpovxE,4,https://www.youtube.com/watch?v=ne6N4YpovxE,29.979038341625316,82.24956063268894,3089.656486434425,745.7535172795348,0.1036151087353801,4.0,concat,6.0,1.0,1.0
neczOGkSYO4,4,https://www.youtube.com/watch?v=neczOGkSYO4,16.422236522038776,6.509945750452079,4596.402767583985,1896.01894873242,0.0413044294294294,4.0,concat,6.0,1.0,1.0
niTLJUpJ8D4,4,https://www.youtube.com/watch?v=niTLJUpJ8D4,31.61698477798038,64.43914081145584,9047.250430311786,3414.9352553113117,0.1861239769345238,4.0,concat,6.0,1.0,1.0
njta7_VvgRM,4,https://www.youtube.com/watch?v=njta7_VvgRM,20.23194165957176,18.020022246941046,2695.8407192189557,1134.0109498243946,0.1170825376157407,4.0,concat,6.0,1.0,1.0
nlITdCApm6s,4,https://www.youtube.com/watch?v=nlITdCApm6s,31.621469205564207,78.5415421398685,483.9954925771431,291.808222211445,0.1011048719618055,4.0,concat,6.0,1.0,1.0
nmaasfhgYUI,4,https://www.youtube.com/watch?v=nmaasfhgYUI,24.86990238058156,52.0,4193.02819444761,1496.5076578387782,0.0599186921296296,4.0,concat,6.0,1.0,1.0
nmiMiRnFeMs,4,https://www.youtube.com/watch?v=nmiMiRnFeMs,21.90562696192316,38.11764705882353,3057.4101909666333,2261.065024657789,0.0777283241421568,4.0,concat,6.0,1.0,1.0
noBCoWIUBHM,4,https://www.youtube.com/watch?v=noBCoWIUBHM,11.068299965424972,0.0,5995.008009743556,2757.802715038148,0.1328932669082126,4.0,concat,6.0,1.0,1.0
nods-J05pRI,4,https://www.youtube.com/watch?v=nods-J05pRI,39.17930917572557,96.5034965034965,3211.1335772999696,2212.8416191302063,0.1278201329022988,4.0,concat,6.0,1.0,1.0
nofC56QOk7Y,4,https://www.youtube.com/watch?v=nofC56QOk7Y,33.4863444372665,94.15384615384616,7813.695265091167,4990.723989701735,0.0980942234848484,4.0,concat,6.0,1.0,1.0
nonc2NRG7C0,4,https://www.youtube.com/watch?v=nonc2NRG7C0,25.804683909696692,48.46153846153847,9132.164344787598,3779.023065088764,0.1016666666666666,4.0,concat,6.0,1.0,1.0
nq27WV1ErXY,4,https://www.youtube.com/watch?v=nq27WV1ErXY,14.983547031879423,7.258064516129031,1188.1348068796672,714.8309283463881,0.1628456903594771,4.0,concat,6.0,1.0,1.0
nrll5h0h0dQ,4,https://www.youtube.com/watch?v=nrll5h0h0dQ,29.259764512379963,72.39488117001827,1306.5332874017995,1122.134244630865,0.1217423613185007,4.0,concat,6.0,1.0,1.0
nvmMSjStARc,4,https://www.youtube.com/watch?v=nvmMSjStARc,25.777831466109664,61.613691931540345,2630.888362097963,1326.0023668005672,0.1874398561507936,4.0,concat,6.0,1.0,1.0
nvtUkRQlWU8,4,https://www.youtube.com/watch?v=nvtUkRQlWU8,13.271669491282047,11.292346298619824,4021.7224621405967,1945.7320535712272,0.0250937982253086,4.0,concat,6.0,1.0,1.0
nwfbBa4vRgY,4,https://www.youtube.com/watch?v=nwfbBa4vRgY,28.165618419647217,76.30922693266832,5252.769776789347,3512.1704697891464,0.1366059027777778,4.0,concat,6.0,1.0,1.0
o1QBDlebR_o,4,https://www.youtube.com/watch?v=o1QBDlebR_o,41.27853157563775,83.50468473031148,7231.761694536737,2690.90242874213,0.0459061316287878,4.0,concat,6.0,1.0,1.0
o1WNy08_fCA,4,https://www.youtube.com/watch?v=o1WNy08_fCA,7.1960872897395385,0.0,4139.068140129065,1398.4496197813526,0.0977495659722222,4.0,concat,6.0,1.0,1.0
