video_id,cluster,cluster_id,fusion_strategy,k_selected
NGFVtZgvbrY,0,0,concat,6
NLy-FmbsA0Q,0,0,concat,6
NOuanTmeC4M,0,0,concat,6
NPsZxC0EMDY,0,0,concat,6
NQqtfIzqiww,0,0,concat,6
NbRTWw8KsW4,0,0,concat,6
NgTvtfbuzqE,0,0,concat,6
NhJNgwfXdfU,0,0,concat,6
NpNxDgn-_FI,0,0,concat,6
Nq84lH--RFo,0,0,concat,6
NqJe83sOJrU,0,0,concat,6
Ns4mfg6MpGg,0,0,concat,6
NtCHyGWtxnU,0,0,concat,6
NtMvei0BqOI,0,0,concat,6
Nw09YqVFdj4,0,0,concat,6
O-7yGydDnlY,0,0,concat,6
O05zaxZvnFw,0,0,concat,6
O3FCmTwI1KA,0,0,concat,6
O9Kgj-nT9Z0,0,0,concat,6
OD-Og9xVy4s,0,0,concat,6
OM-RWHkPY4c,0,0,concat,6
OVwDNxx41R8,0,0,concat,6
OW3PYwzBR7Q,0,0,concat,6
OW4_vdSbIrA,0,0,concat,6
OZAxeZoW2nA,0,0,concat,6
Oa3U5ikHock,0,0,concat,6
Oh5XYTtEtJk,0,0,concat,6
Oi0WBHxczV4,0,0,concat,6
Ol5pu6WQLco,0,0,concat,6
OylMEy1vRUw,0,0,concat,6
P1ciR0S6HoY,0,0,concat,6
P5BrcdhWCnI,0,0,concat,6
PDlrgDdafFU,0,0,concat,6
PFN-Eq4hEa4,0,0,concat,6
PGUTF5LcJXQ,0,0,concat,6
PJhLarZSYl0,0,0,concat,6
PJoPU48p2oc,0,0,concat,6
PS_oPXjlV_w,0,0,concat,6
PXIABNoPBdA,0,0,concat,6
PZCLq-lOdKc,0,0,concat,6
PczrYD1rrw8,0,0,concat,6
PeTHS4MivaE,0,0,concat,6
Pk4XIUjGsUQ,0,0,concat,6
PkEpVIcwg20,0,0,concat,6
PmEh4Jj-fkk,0,0,concat,6
Ppbyum-28aE,0,0,concat,6
Ptk3EmUZ40o,0,0,concat,6
Q1rw5KFgVP0,0,0,concat,6
Q9DDN5-lrfs,0,0,concat,6
QHogekWyxQg,0,0,concat,6
QVuGz9sqnwY,0,0,concat,6
QYUN9Ds63RE,0,0,concat,6
QdkZvRm32n8,0,0,concat,6
Qvm8D_ctQ7o,0,0,concat,6
QwKX7iOsFrw,0,0,concat,6
QwOUZSEsd6s,0,0,concat,6
R0g-VkQSRV8,0,0,concat,6
R6IYZS8QcpU,0,0,concat,6
RECZH0O0p2M,0,0,concat,6
RFGn8Ukg33E,0,0,concat,6
RHTLf30yBcg,0,0,concat,6
RPL6coDZJvg,0,0,concat,6
RQV5eSnnyBs,0,0,concat,6
RXnizW2mdds,0,0,concat,6
RYkWpYtHYE8,0,0,concat,6
Re5GJrVGblA,0,0,concat,6
RhXfNUqippQ,0,0,concat,6
RhuSFGH0fB8,0,0,concat,6
Rnd7phU4FpE,0,0,concat,6
Rr6GsmrmJ7Q,0,0,concat,6
RrdFFiKqfoM,0,0,concat,6
RwMZY61jkhg,0,0,concat,6
RxxudglXO9I,0,0,concat,6
SABMh0Uj20g,0,0,concat,6
SABYtdu8lBY,0,0,concat,6
SBujs8mFc6Y,0,0,concat,6
SKNspex5oTw,0,0,concat,6
SQbCL294Yi8,0,0,concat,6
SW-AVF5W4Ow,0,0,concat,6
SaKJo5Nh87U,0,0,concat,6
ScOZD5MpWqo,0,0,concat,6
SdPbRXD0yr0,0,0,concat,6
Sdi8VQxHD_Y,0,0,concat,6
SfmPi4kFXqk,0,0,concat,6
Sh-gwqpVUTE,0,0,concat,6
ShrnZI2ABj0,0,0,concat,6
SiLpUzjE8iY,0,0,concat,6
SiUziFhdpOc,0,0,concat,6
SlhFvFk5hYo,0,0,concat,6
T5zoDf31YaU,0,0,concat,6
TIM6eNlIdMg,0,0,concat,6
TKdeNlAqhns,0,0,concat,6
TOfZAGimO9o,0,0,concat,6
TSoDKO4dd9s,0,0,concat,6
TUT7kOsbT2s,0,0,concat,6
TX1sQRIDxhQ,0,0,concat,6
TidR4wmrST4,0,0,concat,6
Tkdw6XqnQXo,0,0,concat,6
Tllw-8VGv1k,0,0,concat,6
ToVylXis3WY,0,0,concat,6
ToksGhZz5uc,0,0,concat,6
TxIL_AHmUDA,0,0,concat,6
TxV-0c_n4Uk,0,0,concat,6
TzNjnU6h33U,0,0,concat,6
U-vl4Q1PKbk,0,0,concat,6
U3E0u1YEuYs,0,0,concat,6
U3SbBFbkPbA,0,0,concat,6
U6c8WIYiSCI,0,0,concat,6
UFhjEc8J_p0,0,0,concat,6
ULWrb-qnA6Y,0,0,concat,6
UNMruLLcKdo,0,0,concat,6
URNEsgsmstI,0,0,concat,6
URqO2QpWJLw,0,0,concat,6
US7BUl0GAVw,0,0,concat,6
UToy9DFnl-8,0,0,concat,6
UX45BaMG51k,0,0,concat,6
UY6JLdg21Cc,0,0,concat,6
U_e0uEKdHjw,0,0,concat,6
U_uQpUvLk4c,0,0,concat,6
Uh3Ivk1Mwmg,0,0,concat,6
UhguIORPNOg,0,0,concat,6
UiRkNMHF7Xk,0,0,concat,6
UjyTtnL2oK0,0,0,concat,6
UoRczchfYII,0,0,concat,6
UxBuO_0zFag,0,0,concat,6
UxgauJ6Aspg,0,0,concat,6
V-1CRJP9FiQ,0,0,concat,6
V-_VIId4F20,0,0,concat,6
V1synzyOknI,0,0,concat,6
V6Tm9cxh07I,0,0,concat,6
V92SZvvQjwo,0,0,concat,6
V9cKmpW-HkY,0,0,concat,6
VDRZc9aTx0s,0,0,concat,6
VDb5XPPMe6A,0,0,concat,6
VE9vwzlGShM,0,0,concat,6
VGfuox2zOgc,0,0,concat,6
VIyQ7co-WFg,0,0,concat,6
VQwDWLourEg,0,0,concat,6
VTGPmOkaCMg,0,0,concat,6
VXTP1B7QrqM,0,0,concat,6
VYHjkAcUtk8,0,0,concat,6
V_8rKuvlfXk,0,0,concat,6
Vb4lQuS4R0w,0,0,concat,6
VhQ-OBx9FkE,0,0,concat,6
Vilhzgm4Z1I,0,0,concat,6
VkSFWj0e_Us,0,0,concat,6
VkxhIhs6mMw,0,0,concat,6
Vt8Tj5BkD9w,0,0,concat,6
Vu1ui5dtQ7U,0,0,concat,6
W7eExfDdNr8,0,0,concat,6
WAQJPo6PGV4,0,0,concat,6
WAzy1xM3lsE,0,0,concat,6
WB1RVlrvYMU,0,0,concat,6
WCBhTcSsKlo,0,0,concat,6
WEluaQh2Rnw,0,0,concat,6
WL7HjEyWgQQ,0,0,concat,6
WLb96e3kyLg,0,0,concat,6
WOfAPCINUTE,0,0,concat,6
WPQob5_EK8E,0,0,concat,6
WUNMktDmkhA,0,0,concat,6
WWoAN2iP0_k,0,0,concat,6
WYwmHsDgJSE,0,0,concat,6
Wgis64nMCQk,0,0,concat,6
WoNhsm4rTE0,0,0,concat,6
Wpya-rZt4Y4,0,0,concat,6
WsU5zAOGVQA,0,0,concat,6
X-hD8nZOAbo,0,0,concat,6
X0OZhxdGYGw,0,0,concat,6
X3mzxYFYfgQ,0,0,concat,6
X7AEtwah80k,0,0,concat,6
XBp0sonaWH4,0,0,concat,6
XCzGmzrHI20,0,0,concat,6
XDBLgxZSLQg,0,0,concat,6
