video_id,horizon,range_min_raw,range_max_raw,range_min_log,range_max_log,range_width_raw,range_midpoint_raw,range_midpoint_log
6b3NEAyp-Ig,7,169934.8948219221,383395.8616254318,12.043176555633545,12.856825923919677,213460.9668035097,276665.37822367693,12.530567648539105
6zsn1sCZ-2g,7,112650.38943550696,172210.98308837903,11.63205327987671,12.05648145675659,59560.59365287206,142430.686261943,11.866617769091455
79xFPmCU6C0,7,83669.74716029067,128442.48067265745,11.33464469909668,11.763244247436523,44772.73351236677,106056.11391647406,11.571733038520705
7D372dLCDo0,7,123659.29651750099,225058.5111188287,11.72529354095459,12.324120140075683,101399.21460132771,174358.90381816484,12.068876854724309
7FDJtIbbOCs,7,214129.62133855268,467432.6994565667,12.274341487884525,13.055012798309322,253303.07811801403,340781.1603975597,12.738998726315893
7FZaMYwrQAk,7,98123.67476918001,193805.4924236358,11.493994140625,12.174615478515625,95681.81765445578,145964.5835964079,11.891126144110348
7FrcbMFnczk,7,308989.551889771,929442.7926277816,12.641065979003907,13.74234161376953,620453.2407380106,619216.1722587764,13.336211333849162
7NcwhlDRtdE,7,65323.3382869764,177986.9194494798,11.087119960784909,12.089470958709718,112663.58116250341,121655.12886822812,11.708953728103518
7V2wAcpQfb0,7,113807.91690821967,163034.7618399167,11.64227615356445,12.001724853515624,49226.84493169702,138421.3393740682,11.838064720802588
7gKczyP5NIk,7,277494.6836133651,550572.5120427634,12.533560657501221,13.21871576309204,273077.8284293983,414033.59782806423,12.93370481894871
7hr09apujb0,7,247916.6934787272,2285701.2740632305,12.420852088928223,14.642183876037597,2037784.5805845032,1266808.9837709789,14.052012474710434
7lQcNuAYsyU,7,70723.89595936479,322076.4062781596,11.166552925109864,12.682547187805175,251352.5103187948,196400.15111876218,12.18791453597882
7saEN5PuIr8,7,156842.76279066346,245178.94661791227,11.963005447387696,12.409747695922851,88336.18382724881,201010.85470428786,12.21111916393034
7vpzY3sO_MA,7,334544.9307913998,523219.40740504285,12.72052946090698,13.167758083343509,188674.47661364306,428882.16909822135,12.968939827716381
82JzN5uVQOA,7,55962.01943965978,117814.39816536751,10.932446384429928,11.676874256134035,61852.378725707735,86888.20880251365,11.372389124054813
84h82ft49Hc,7,198341.4721811666,364626.8830887743,12.197750473022458,12.806632614135744,166285.41090760767,281484.17763497046,12.547835070237625
87IVraqB9-k,7,123420.12214841208,168852.1670809287,11.723357543945312,12.036784782409669,45432.04493251661,146136.14461467037,11.8923008064563
89FfxB2bg-A,7,134865.50420658645,247872.76816795653,11.812040710449219,12.420674896240234,113007.26396137007,191369.1361872715,12.161964717547644
8DV3ephb-Ns,7,74186.19130361316,287789.5812269548,11.214346790313721,12.569988346099853,213603.38992334166,180987.88626528397,12.106190906513532
8IW_lRTRMkw,7,97708.40649705345,133254.00130543168,11.489753112792968,11.800019874572754,35545.59480837823,115481.20390124257,11.65687171829551
8LhEqCszo6g,7,178753.64655935642,270418.08335284394,12.093769454956055,12.50772819519043,91664.43679348752,224585.86495610018,12.322017837635562
8MS2IWBIjtY,7,44181.51342179616,59236.0394654309,10.696084365844728,10.989302291870116,15054.526043634738,51708.77644361353,10.85340214210909
8NixAgvmUsQ,7,29566.980846410082,57897.760945536895,10.294447326660157,10.966451263427734,28330.780099126812,43732.37089597349,10.68586672572548
8ZxuXGuIVo0,7,211512.5404088074,292704.79061175324,12.262044296264648,12.58692325592041,81192.25020294584,252108.66551028032,12.437619452426299
8_TCy5FnH_M,7,227309.55753899913,322747.02507534204,12.334072456359863,12.684627189636231,95437.46753634291,275028.2913071706,12.524632884820768
8cpuadsUlBM,7,64613.2271113494,103614.17980064917,11.07618989944458,11.548439121246338,39000.952689299775,84113.70345599929,11.339936663687846
8lQc4s_3Cxs,7,38928.25504350274,83273.01019729186,10.569501304626463,11.329891777038577,44344.75515378913,61100.6326203973,11.020293865267469
9-YDot04L18,7,392706.4371877584,1535878.505739355,12.880820178985593,14.24461374282837,1143172.0685515967,964292.4714635566,13.779150958241768
919LB2jL7jA,7,394664.02134950226,611266.5106146644,12.885792636871338,13.32328996658325,216602.48926516215,502965.26598208334,13.128278381190894
94ie7wZj7ZY,7,164249.03120683186,227106.36923891483,12.009145126342771,12.333178176879885,62857.338032082975,195677.70022287336,12.184229308538317
